name,iso,id,country,admin_level,category,range_type,range,population,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,population_share,population_interval,population_interval_share
Kushtia,,16705992B21124734124900,BGD,ADM2,education,DISTANCE,10000,1218823,397065,58.54,129466,19.09,58.53,397446,19.09
Kushtia,,16705992B21124734124900,BGD,ADM2,education,DISTANCE,15000,1494559,486842,71.78,89777,13.24,71.78,275736,13.24
Kushtia,,16705992B21124734124900,BGD,ADM2,education,DISTANCE,20000,1694079,551769,81.35,64927,9.57,81.36,199520,9.58
Kushtia,,16705992B21124734124900,BGD,ADM2,education,DISTANCE,25000,1707586,556170,82.0,4401,0.65,82.01,13507,0.65
Kushtia,,16705992B21124734124900,BGD,ADM2,education,DISTANCE,30000,1713994,558258,82.31,2088,0.31,82.31,6408,0.31
Kushtia,,16705992B21124734124900,BGD,ADM2,education,DISTANCE,35000,1734694,565005,83.3,6747,0.99,83.31,20700,0.99
Kushtia,,16705992B21124734124900,BGD,ADM2,education,DISTANCE,40000,1736782,565685,83.4,680,0.1,83.41,2088,0.1
Kushtia,,16705992B21124734124900,BGD,ADM2,education,DISTANCE,45000,1879990,612330,90.28,46645,6.88,90.29,143208,6.88
Kushtia,,16705992B21124734124900,BGD,ADM2,education,DISTANCE,50000,1880972,612647,90.33,317,0.05,90.33,982,0.05
Khulna,,16705992B21968895988188,BGD,ADM2,education,DISTANCE,5000,1234932,397645,53.29,397645,53.29,53.33,1234932,53.33
Khulna,,16705992B21968895988188,BGD,ADM2,education,DISTANCE,10000,1524180,491054,65.81,93409,12.52,65.82,289248,12.49
Khulna,,16705992B21968895988188,BGD,ADM2,education,DISTANCE,15000,1719154,553913,74.23,62859,8.42,74.24,194974,8.42
Khulna,,16705992B21968895988188,BGD,ADM2,education,DISTANCE,20000,1856302,598164,80.16,44251,5.93,80.16,137148,5.92
Khulna,,16705992B21968895988188,BGD,ADM2,education,DISTANCE,25000,1915776,617313,82.73,19149,2.57,82.73,59474,2.57
Khulna,,16705992B21968895988188,BGD,ADM2,education,DISTANCE,30000,1998449,643978,86.3,26665,3.57,86.3,82673,3.57
Khulna,,16705992B21968895988188,BGD,ADM2,education,DISTANCE,35000,2022234,651642,87.33,7664,1.03,87.33,23785,1.03
Khulna,,16705992B21968895988188,BGD,ADM2,education,DISTANCE,40000,2045828,659243,88.35,7601,1.02,88.34,23594,1.02
Khulna,,16705992B21968895988188,BGD,ADM2,education,DISTANCE,45000,2072851,667960,89.52,8717,1.17,89.51,27023,1.17
Khulna,,16705992B21968895988188,BGD,ADM2,education,DISTANCE,50000,2085761,672116,90.07,4156,0.56,90.07,12910,0.56
Joypurhat,,16705992B2288856744536,BGD,ADM2,education,DISTANCE,5000,144771,43286,15.58,43286,15.58,15.59,144771,15.59
Joypurhat,,16705992B2288856744536,BGD,ADM2,education,DISTANCE,10000,211706,63306,22.78,20020,7.2,22.79,66935,7.21
Joypurhat,,16705992B2288856744536,BGD,ADM2,education,DISTANCE,15000,361540,108185,38.93,44879,16.15,38.93,149834,16.13
Joypurhat,,16705992B2288856744536,BGD,ADM2,education,DISTANCE,20000,533086,159501,57.4,51316,18.47,57.39,171546,18.47
Joypurhat,,16705992B2288856744536,BGD,ADM2,education,DISTANCE,25000,611057,182835,65.79,23334,8.4,65.79,77971,8.39
