name,iso,id,country,admin_level,category,range_type,range,population,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,population_share,population_interval,population_interval_share
Pirojpur,,16705992B46028667424095,BGD,ADM2,education,DISTANCE,5000,179736,63436,16.22,63436,16.22,16.22,179736,16.22
Pirojpur,,16705992B46028667424095,BGD,ADM2,education,DISTANCE,10000,314516,111046,28.39,47610,12.17,28.38,134780,12.16
Pirojpur,,16705992B46028667424095,BGD,ADM2,education,DISTANCE,15000,510201,180139,46.05,69093,17.66,46.03,195685,17.65
Pirojpur,,16705992B46028667424095,BGD,ADM2,education,DISTANCE,20000,660230,233087,59.58,52948,13.53,59.57,150029,13.54
Pirojpur,,16705992B46028667424095,BGD,ADM2,education,DISTANCE,25000,716464,252994,64.67,19907,5.09,64.64,56234,5.07
Pirojpur,,16705992B46028667424095,BGD,ADM2,education,DISTANCE,30000,765974,270467,69.14,17473,4.47,69.11,49510,4.47
Pirojpur,,16705992B46028667424095,BGD,ADM2,education,DISTANCE,35000,849301,299707,76.61,29240,7.47,76.62,83327,7.52
Pirojpur,,16705992B46028667424095,BGD,ADM2,education,DISTANCE,40000,856483,302251,77.26,2544,0.65,77.27,7182,0.65
Pirojpur,,16705992B46028667424095,BGD,ADM2,education,DISTANCE,45000,857271,302529,77.33,278,0.07,77.34,788,0.07
Pirojpur,,16705992B46028667424095,BGD,ADM2,education,DISTANCE,50000,857408,302577,77.35,48,0.01,77.35,137,0.01
Pabna,,16705992B46384724638491,BGD,ADM2,education,DISTANCE,5000,831120,291382,29.28,291382,29.28,29.25,831120,29.25
Pabna,,16705992B46384724638491,BGD,ADM2,education,DISTANCE,10000,1257282,440746,44.3,149364,15.01,44.25,426162,15.0
Pabna,,16705992B46384724638491,BGD,ADM2,education,DISTANCE,15000,1518581,532326,53.5,91580,9.2,53.45,261299,9.2
Pabna,,16705992B46384724638491,BGD,ADM2,education,DISTANCE,20000,1904391,667553,67.09,135227,13.59,67.03,385810,13.58
Pabna,,16705992B46384724638491,BGD,ADM2,education,DISTANCE,25000,2017495,707178,71.07,39625,3.98,71.01,113104,3.98
Pabna,,16705992B46384724638491,BGD,ADM2,education,DISTANCE,30000,2128589,746113,74.99,38935,3.91,74.92,111094,3.91
Pabna,,16705992B46384724638491,BGD,ADM2,education,DISTANCE,35000,2265824,794221,79.82,48108,4.83,79.75,137235,4.83
Pabna,,16705992B46384724638491,BGD,ADM2,education,DISTANCE,40000,2281667,799776,80.38,5555,0.56,80.31,15843,0.56
Pabna,,16705992B46384724638491,BGD,ADM2,education,DISTANCE,45000,2664227,933808,93.85,134032,13.47,93.77,382560,13.47
Pabna,,16705992B46384724638491,BGD,ADM2,education,DISTANCE,50000,2708421,949304,95.41,15496,1.56,95.33,44194,1.56
Netrakona,,16705992B47191620994273,BGD,ADM2,education,DISTANCE,5000,743181,298989,30.75,298989,30.75,30.75,743181,30.75
Netrakona,,16705992B47191620994273,BGD,ADM2,education,DISTANCE,10000,1454120,584948,60.15,285959,29.41,60.17,710939,29.42
Netrakona,,16705992B47191620994273,BGD,ADM2,education,DISTANCE,15000,1916420,771393,79.33,186445,19.17,79.3,462300,19.13
Netrakona,,16705992B47191620994273,BGD,ADM2,education,DISTANCE,20000,2139582,861058,88.55,89665,9.22,88.53,223162,9.23
Netrakona,,16705992B47191620994273,BGD,ADM2,education,DISTANCE,25000,2303776,927045,95.33,65987,6.79,95.33,164194,6.79
Netrakona,,16705992B47191620994273,BGD,ADM2,education,DISTANCE,30000,2355089,947669,97.45,20624,2.12,97.45,51313,2.12
Netrakona,,16705992B47191620994273,BGD,ADM2,education,DISTANCE,35000,2366257,952153,97.92,4484,0.46,97.91,11168,0.46
Netrakona,,16705992B47191620994273,BGD,ADM2,education,DISTANCE,40000,2370827,953970,98.1,1817,0.19,98.1,4570,0.19
Netrakona,,16705992B47191620994273,BGD,ADM2,education,DISTANCE,45000,2378139,956909,98.4,2939,0.3,98.4,7312,0.3
Netrakona,,16705992B47191620994273,BGD,ADM2,education,DISTANCE,50000,2378508,957057,98.42,148,0.02,98.42,369,0.02
Sylhet,,16705992B47932115867008,BGD,ADM2,education,DISTANCE,5000,2284085,980759,53.76,980759,53.76,53.75,2284085,53.75
Sylhet,,16705992B47932115867008,BGD,ADM2,education,DISTANCE,10000,3535869,1517949,83.2,537190,29.44,83.2,1251784,29.46
Sylhet,,16705992B47932115867008,BGD,ADM2,education,DISTANCE,15000,4011000,1721958,94.39,204009,11.18,94.38,475131,11.18
Sylhet,,16705992B47932115867008,BGD,ADM2,education,DISTANCE,20000,4142665,1778486,97.48,56528,3.1,97.48,131665,3.1
Sylhet,,16705992B47932115867008,BGD,ADM2,education,DISTANCE,25000,4174940,1792348,98.24,13862,0.76,98.24,32275,0.76
Sylhet,,16705992B47932115867008,BGD,ADM2,education,DISTANCE,30000,4199957,1803030,98.83,10682,0.59,98.83,25017,0.59
Sylhet,,16705992B47932115867008,BGD,ADM2,education,DISTANCE,35000,4207170,1806130,99.0,3100,0.17,99.0,7213,0.17
Sylhet,,16705992B47932115867008,BGD,ADM2,education,DISTANCE,40000,4208927,1806885,99.04,755,0.04,99.04,1757,0.04
Sylhet,,16705992B47932115867008,BGD,ADM2,education,DISTANCE,45000,4210786,1807687,99.08,802,0.04,99.08,1859,0.04
Sylhet,,16705992B47932115867008,BGD,ADM2,education,DISTANCE,50000,4222764,1812829,99.37,5142,0.28,99.37,11978,0.28
Rajbari,,16705992B48875454234518,BGD,ADM2,education,DISTANCE,5000,233828,82041,20.46,82041,20.46,20.47,233828,20.47
Rajbari,,16705992B48875454234518,BGD,ADM2,education,DISTANCE,10000,428174,150450,37.51,68409,17.06,37.49,194346,17.02
Rajbari,,16705992B48875454234518,BGD,ADM2,education,DISTANCE,15000,526478,184979,46.12,34529,8.61,46.1,98304,8.61
Rajbari,,16705992B48875454234518,BGD,ADM2,education,DISTANCE,20000,656150,230645,57.51,45666,11.39,57.45,129672,11.35
Rajbari,,16705992B48875454234518,BGD,ADM2,education,DISTANCE,25000,737645,259262,64.64,28617,7.14,64.59,81495,7.14
Rajbari,,16705992B48875454234518,BGD,ADM2,education,DISTANCE,30000,750676,263835,65.78,4573,1.14,65.73,13031,1.14
Rajbari,,16705992B48875454234518,BGD,ADM2,education,DISTANCE,35000,758708,266653,66.49,2818,0.7,66.44,8032,0.7
Rajbari,,16705992B48875454234518,BGD,ADM2,education,DISTANCE,40000,773476,271835,67.78,5182,1.29,67.73,14768,1.29
Rajbari,,16705992B48875454234518,BGD,ADM2,education,DISTANCE,45000,775181,272433,67.93,598,0.15,67.88,1705,0.15
Rajbari,,16705992B48875454234518,BGD,ADM2,education,DISTANCE,50000,780844,274430,68.43,1997,0.5,68.37,5663,0.5
Patuakhali,,16705992B49808088196813,BGD,ADM2,education,DISTANCE,5000,406654,148779,24.8,148779,24.8,24.76,406654,24.76
Patuakhali,,16705992B49808088196813,BGD,ADM2,education,DISTANCE,10000,595560,217791,36.3,69012,11.5,36.27,188906,11.5
Patuakhali,,16705992B49808088196813,BGD,ADM2,education,DISTANCE,15000,726564,265536,44.26,47745,7.96,44.25,131004,7.98
Patuakhali,,16705992B49808088196813,BGD,ADM2,education,DISTANCE,20000,828810,302892,50.49,37356,6.23,50.47,102246,6.23
Patuakhali,,16705992B49808088196813,BGD,ADM2,education,DISTANCE,25000,1035958,378264,63.05,75372,12.56,63.09,207148,12.61
Patuakhali,,16705992B49808088196813,BGD,ADM2,education,DISTANCE,30000,1121890,409688,68.29,31424,5.24,68.32,85932,5.23
Patuakhali,,16705992B49808088196813,BGD,ADM2,education,DISTANCE,35000,1208308,441273,73.55,31585,5.26,73.58,86418,5.26
Patuakhali,,16705992B49808088196813,BGD,ADM2,education,DISTANCE,40000,1236962,451760,75.3,10487,1.75,75.33,28654,1.74
Patuakhali,,16705992B49808088196813,BGD,ADM2,education,DISTANCE,45000,1290729,471431,78.58,19671,3.28,78.6,53767,3.27
Patuakhali,,16705992B49808088196813,BGD,ADM2,education,DISTANCE,50000,1371624,501028,83.51,29597,4.93,83.53,80895,4.93
Gazipur,,16705992B50862305652789,BGD,ADM2,education,DISTANCE,5000,3670094,1175275,61.6,1175275,61.6,61.71,3670094,61.71
Gazipur,,16705992B50862305652789,BGD,ADM2,education,DISTANCE,10000,5041163,1616630,84.73,441355,23.13,84.76,1371069,23.05
Gazipur,,16705992B50862305652789,BGD,ADM2,education,DISTANCE,15000,5657267,1814716,95.11,198086,10.38,95.12,616104,10.36
Gazipur,,16705992B50862305652789,BGD,ADM2,education,DISTANCE,20000,5782782,1855059,97.23,40343,2.11,97.23,125515,2.11
Gazipur,,16705992B50862305652789,BGD,ADM2,education,DISTANCE,25000,5894646,1891000,99.11,35941,1.88,99.11,111864,1.88
Gazipur,,16705992B50862305652789,BGD,ADM2,education,DISTANCE,30000,5943257,1906570,99.93,15570,0.82,99.93,48611,0.82
Gazipur,,16705992B50862305652789,BGD,ADM2,education,DISTANCE,35000,5947464,1907921,100.0,1351,0.07,100.0,4207,0.07
Gazipur,,16705992B50862305652789,BGD,ADM2,education,DISTANCE,40000,5947464,1907921,100.0,0,0.0,100.0,0,0.0
Gazipur,,16705992B50862305652789,BGD,ADM2,education,DISTANCE,45000,5947464,1907921,100.0,0,0.0,100.0,0,0.0
Gazipur,,16705992B50862305652789,BGD,ADM2,education,DISTANCE,50000,5947464,1907921,100.0,0,0.0,100.0,0,0.0
Rajshahi,,16705992B51815672792645,BGD,ADM2,education,DISTANCE,5000,800605,257722,27.66,257722,27.66,27.67,800605,27.67
Rajshahi,,16705992B51815672792645,BGD,ADM2,education,DISTANCE,10000,1069828,344354,36.96,86632,9.3,36.97,269223,9.3
Rajshahi,,16705992B51815672792645,BGD,ADM2,education,DISTANCE,15000,1269766,408693,43.86,64339,6.91,43.88,199938,6.91
Rajshahi,,16705992B51815672792645,BGD,ADM2,education,DISTANCE,20000,1550598,499077,53.56,90384,9.7,53.59,280832,9.71
Rajshahi,,16705992B51815672792645,BGD,ADM2,education,DISTANCE,25000,1767990,569049,61.07,69972,7.51,61.1,217392,7.51
Rajshahi,,16705992B51815672792645,BGD,ADM2,education,DISTANCE,30000,1986003,639218,68.6,70169,7.53,68.63,218013,7.53
Rajshahi,,16705992B51815672792645,BGD,ADM2,education,DISTANCE,35000,2093886,673928,72.33,34710,3.73,72.36,107883,3.73
Rajshahi,,16705992B51815672792645,BGD,ADM2,education,DISTANCE,40000,2186227,703638,75.52,29710,3.19,75.55,92341,3.19
Rajshahi,,16705992B51815672792645,BGD,ADM2,education,DISTANCE,45000,2320993,746998,80.17,43360,4.65,80.21,134766,4.66
Rajshahi,,16705992B51815672792645,BGD,ADM2,education,DISTANCE,50000,2411069,775985,83.28,28987,3.11,83.32,90076,3.11
Mymensingh,,16705992B54511139091050,BGD,ADM2,education,DISTANCE,5000,1704047,659956,29.84,659956,29.84,29.83,1704047,29.83
Mymensingh,,16705992B54511139091050,BGD,ADM2,education,DISTANCE,10000,2724823,1055387,47.72,395431,17.88,47.7,1020776,17.87
Mymensingh,,16705992B54511139091050,BGD,ADM2,education,DISTANCE,15000,3779455,1463762,66.18,408375,18.46,66.16,1054632,18.46
Mymensingh,,16705992B54511139091050,BGD,ADM2,education,DISTANCE,20000,4757536,1842446,83.3,378684,17.12,83.28,978081,17.12
Mymensingh,,16705992B54511139091050,BGD,ADM2,education,DISTANCE,25000,5106967,1977479,89.41,135033,6.11,89.4,349431,6.12
Mymensingh,,16705992B54511139091050,BGD,ADM2,education,DISTANCE,30000,5404682,2092518,94.61,115039,5.2,94.61,297715,5.21
Mymensingh,,16705992B54511139091050,BGD,ADM2,education,DISTANCE,35000,5536800,2143698,96.92,51180,2.31,96.92,132118,2.31
Mymensingh,,16705992B54511139091050,BGD,ADM2,education,DISTANCE,40000,5543180,2146184,97.04,2486,0.11,97.04,6380,0.11
Mymensingh,,16705992B54511139091050,BGD,ADM2,education,DISTANCE,45000,5549619,2148679,97.15,2495,0.11,97.15,6439,0.11
Mymensingh,,16705992B54511139091050,BGD,ADM2,education,DISTANCE,50000,5559364,2152453,97.32,3774,0.17,97.32,9745,0.17
Sirajganj,,16705992B55394931042500,BGD,ADM2,education,DISTANCE,5000,845114,310117,24.2,310117,24.2,24.18,845114,24.18
Sirajganj,,16705992B55394931042500,BGD,ADM2,education,DISTANCE,10000,1539525,564734,44.07,254617,19.87,44.06,694411,19.87
Sirajganj,,16705992B55394931042500,BGD,ADM2,education,DISTANCE,15000,1960597,719243,56.13,154509,12.06,56.11,421072,12.05
Sirajganj,,16705992B55394931042500,BGD,ADM2,education,DISTANCE,20000,2420533,887889,69.3,168646,13.16,69.27,459936,13.16
Sirajganj,,16705992B55394931042500,BGD,ADM2,education,DISTANCE,25000,2636348,967012,75.47,79123,6.18,75.44,215815,6.18
Sirajganj,,16705992B55394931042500,BGD,ADM2,education,DISTANCE,30000,2768988,1015608,79.26,48596,3.79,79.24,132640,3.8
Sirajganj,,16705992B55394931042500,BGD,ADM2,education,DISTANCE,35000,2905392,1065673,83.17,50065,3.91,83.14,136404,3.9
Sirajganj,,16705992B55394931042500,BGD,ADM2,education,DISTANCE,40000,2907107,1066301,83.22,628,0.05,83.19,1715,0.05
Sirajganj,,16705992B55394931042500,BGD,ADM2,education,DISTANCE,45000,2995508,1098639,85.74,32338,2.52,85.72,88401,2.53
Sirajganj,,16705992B55394931042500,BGD,ADM2,education,DISTANCE,50000,3112617,1141429,89.08,42790,3.34,89.07,117109,3.35
Tangail,,16705992B55867939933107,BGD,ADM2,education,DISTANCE,5000,1064134,353362,27.71,353362,27.71,27.71,1064134,27.71
Tangail,,16705992B55867939933107,BGD,ADM2,education,DISTANCE,10000,1508381,500839,39.28,147477,11.57,39.28,444247,11.57
Tangail,,16705992B55867939933107,BGD,ADM2,education,DISTANCE,15000,1980478,657648,51.58,156809,12.3,51.58,472097,12.29
Tangail,,16705992B55867939933107,BGD,ADM2,education,DISTANCE,20000,2813716,934343,73.28,276695,21.7,73.28,833238,21.7
Tangail,,16705992B55867939933107,BGD,ADM2,education,DISTANCE,25000,3111514,1033253,81.03,98910,7.76,81.03,297798,7.76
Tangail,,16705992B55867939933107,BGD,ADM2,education,DISTANCE,30000,3300934,1096152,85.96,62899,4.93,85.96,189420,4.93
Tangail,,16705992B55867939933107,BGD,ADM2,education,DISTANCE,35000,3314668,1100713,86.32,4561,0.36,86.32,13734,0.36
Tangail,,16705992B55867939933107,BGD,ADM2,education,DISTANCE,40000,3361043,1116105,87.53,15392,1.21,87.53,46375,1.21
Tangail,,16705992B55867939933107,BGD,ADM2,education,DISTANCE,45000,3361669,1116313,87.55,208,0.02,87.55,626,0.02
Tangail,,16705992B55867939933107,BGD,ADM2,education,DISTANCE,50000,3362096,1116454,87.56,141,0.01,87.56,427,0.01
Narail,,16705992B56503274196630,BGD,ADM2,education,DISTANCE,5000,210869,75694,27.22,75694,27.22,27.25,210869,27.25
Narail,,16705992B56503274196630,BGD,ADM2,education,DISTANCE,10000,398374,143169,51.49,67475,24.27,51.49,187505,24.23
Narail,,16705992B56503274196630,BGD,ADM2,education,DISTANCE,15000,555598,199564,71.78,56395,20.28,71.81,157224,20.32
Narail,,16705992B56503274196630,BGD,ADM2,education,DISTANCE,20000,659438,236906,85.21,37342,13.43,85.23,103840,13.42
Narail,,16705992B56503274196630,BGD,ADM2,education,DISTANCE,25000,691140,248314,89.31,11408,4.1,89.33,31702,4.1
Narail,,16705992B56503274196630,BGD,ADM2,education,DISTANCE,30000,743036,266965,96.02,18651,6.71,96.04,51896,6.71
Narail,,16705992B56503274196630,BGD,ADM2,education,DISTANCE,35000,744072,267337,96.15,372,0.13,96.17,1036,0.13
Narail,,16705992B56503274196630,BGD,ADM2,education,DISTANCE,40000,770131,276751,99.54,9414,3.39,99.54,26059,3.37
Narail,,16705992B56503274196630,BGD,ADM2,education,DISTANCE,45000,770663,276942,99.61,191,0.07,99.61,532,0.07
Narail,,16705992B56503274196630,BGD,ADM2,education,DISTANCE,50000,770733,276967,99.61,25,0.01,99.62,70,0.01
Comilla,,16705992B59490572634285,BGD,ADM2,education,DISTANCE,5000,2543439,1054371,42.55,1054371,42.55,42.55,2543439,42.55
Comilla,,16705992B59490572634285,BGD,ADM2,education,DISTANCE,10000,4386020,1818201,73.38,763830,30.83,73.38,1842581,30.83
Comilla,,16705992B59490572634285,BGD,ADM2,education,DISTANCE,15000,5328834,2209071,89.15,390870,15.77,89.15,942814,15.77
Comilla,,16705992B59490572634285,BGD,ADM2,education,DISTANCE,20000,5650760,2342491,94.54,133420,5.38,94.54,321926,5.39
Comilla,,16705992B59490572634285,BGD,ADM2,education,DISTANCE,25000,5760419,2387959,96.37,45468,1.84,96.37,109659,1.83
Comilla,,16705992B59490572634285,BGD,ADM2,education,DISTANCE,30000,5785111,2398197,96.79,10238,0.41,96.79,24692,0.41
Comilla,,16705992B59490572634285,BGD,ADM2,education,DISTANCE,35000,5807802,2407631,97.17,9434,0.38,97.17,22691,0.38
Comilla,,16705992B59490572634285,BGD,ADM2,education,DISTANCE,40000,5922306,2455121,99.08,47490,1.92,99.08,114504,1.92
Comilla,,16705992B59490572634285,BGD,ADM2,education,DISTANCE,45000,5923943,2455805,99.11,684,0.03,99.11,1637,0.03
Comilla,,16705992B59490572634285,BGD,ADM2,education,DISTANCE,50000,5924221,2455921,99.12,116,0.0,99.11,278,0.0
Satkhira,,16705992B60176987344662,BGD,ADM2,education,DISTANCE,5000,571325,187216,28.48,187216,28.48,28.48,571325,28.48
Satkhira,,16705992B60176987344662,BGD,ADM2,education,DISTANCE,10000,930843,305026,46.41,117810,17.92,46.41,359518,17.92
Satkhira,,16705992B60176987344662,BGD,ADM2,education,DISTANCE,15000,1253224,410666,62.48,105640,16.07,62.48,322381,16.07
Satkhira,,16705992B60176987344662,BGD,ADM2,education,DISTANCE,20000,1477173,484052,73.65,73386,11.17,73.65,223949,11.17
Satkhira,,16705992B60176987344662,BGD,ADM2,education,DISTANCE,25000,1703980,558374,84.95,74322,11.31,84.95,226807,11.31
Satkhira,,16705992B60176987344662,BGD,ADM2,education,DISTANCE,30000,1790525,586733,89.27,28359,4.31,89.27,86545,4.31
Satkhira,,16705992B60176987344662,BGD,ADM2,education,DISTANCE,35000,1808114,592497,90.15,5764,0.88,90.14,17589,0.88
Satkhira,,16705992B60176987344662,BGD,ADM2,education,DISTANCE,40000,1825138,598076,90.99,5579,0.85,90.99,17024,0.85
Satkhira,,16705992B60176987344662,BGD,ADM2,education,DISTANCE,45000,1888015,618676,94.13,20600,3.13,94.13,62877,3.13
Satkhira,,16705992B60176987344662,BGD,ADM2,education,DISTANCE,50000,1907168,624952,95.08,6276,0.95,95.08,19153,0.95
Sunamganj,,16705992B61059366245275,BGD,ADM2,education,DISTANCE,5000,830737,363450,28.92,363450,28.92,28.92,830737,28.92
Sunamganj,,16705992B61059366245275,BGD,ADM2,education,DISTANCE,10000,1599627,699816,55.69,336366,26.77,55.69,768890,26.77
Sunamganj,,16705992B61059366245275,BGD,ADM2,education,DISTANCE,15000,2160033,944865,75.19,245049,19.5,75.2,560406,19.51
Sunamganj,,16705992B61059366245275,BGD,ADM2,education,DISTANCE,20000,2519433,1102166,87.71,157301,12.52,87.71,359400,12.51
Sunamganj,,16705992B61059366245275,BGD,ADM2,education,DISTANCE,25000,2677488,1171305,93.21,69139,5.5,93.21,158055,5.5
Sunamganj,,16705992B61059366245275,BGD,ADM2,education,DISTANCE,30000,2716331,1188305,94.57,17000,1.35,94.57,38843,1.35
Sunamganj,,16705992B61059366245275,BGD,ADM2,education,DISTANCE,35000,2746630,1201561,95.62,13256,1.05,95.62,30299,1.05
Sunamganj,,16705992B61059366245275,BGD,ADM2,education,DISTANCE,40000,2779211,1215824,96.76,14263,1.14,96.76,32581,1.13
Sunamganj,,16705992B61059366245275,BGD,ADM2,education,DISTANCE,45000,2822188,1234628,98.25,18804,1.5,98.25,42977,1.5
Sunamganj,,16705992B61059366245275,BGD,ADM2,education,DISTANCE,50000,2824088,1235459,98.32,831,0.07,98.32,1900,0.07
Maulvibazar,,16705992B62450131352427,BGD,ADM2,education,DISTANCE,5000,462971,187874,20.88,187874,20.88,20.91,462971,20.91
Maulvibazar,,16705992B62450131352427,BGD,ADM2,education,DISTANCE,10000,859470,349214,38.82,161340,17.93,38.82,396499,17.91
Maulvibazar,,16705992B62450131352427,BGD,ADM2,education,DISTANCE,15000,1145610,465597,51.76,116383,12.94,51.74,286140,12.92
Maulvibazar,,16705992B62450131352427,BGD,ADM2,education,DISTANCE,20000,1396448,567610,63.09,102013,11.34,63.07,250838,11.33
Maulvibazar,,16705992B62450131352427,BGD,ADM2,education,DISTANCE,25000,1477551,600587,66.76,32977,3.67,66.73,81103,3.66
Maulvibazar,,16705992B62450131352427,BGD,ADM2,education,DISTANCE,30000,1660715,674918,75.02,74331,8.26,75.0,183164,8.27
Maulvibazar,,16705992B62450131352427,BGD,ADM2,education,DISTANCE,35000,1783783,724868,80.58,49950,5.55,80.56,123068,5.56
Maulvibazar,,16705992B62450131352427,BGD,ADM2,education,DISTANCE,40000,1789418,727157,80.83,2289,0.25,80.82,5635,0.25
Maulvibazar,,16705992B62450131352427,BGD,ADM2,education,DISTANCE,45000,1839525,747520,83.09,20363,2.26,83.08,50107,2.26
Maulvibazar,,16705992B62450131352427,BGD,ADM2,education,DISTANCE,50000,1907501,775159,86.17,27639,3.07,86.15,67976,3.07
Jamalpur,,16705992B65705561019803,BGD,ADM2,education,DISTANCE,5000,1107655,398640,45.76,398640,45.76,45.76,1107655,45.76
Jamalpur,,16705992B65705561019803,BGD,ADM2,education,DISTANCE,10000,1625169,584832,67.13,186192,21.37,67.14,517514,21.38
Jamalpur,,16705992B65705561019803,BGD,ADM2,education,DISTANCE,15000,1894477,681709,78.25,96877,11.12,78.26,269308,11.13
Jamalpur,,16705992B65705561019803,BGD,ADM2,education,DISTANCE,20000,2029779,730397,83.84,48688,5.59,83.85,135302,5.59
Jamalpur,,16705992B65705561019803,BGD,ADM2,education,DISTANCE,25000,2115569,761303,87.38,30906,3.55,87.4,85790,3.54
Jamalpur,,16705992B65705561019803,BGD,ADM2,education,DISTANCE,30000,2202474,792580,90.97,31277,3.59,90.99,86905,3.59
Jamalpur,,16705992B65705561019803,BGD,ADM2,education,DISTANCE,35000,2214269,796823,91.46,4243,0.49,91.47,11795,0.49
Jamalpur,,16705992B65705561019803,BGD,ADM2,education,DISTANCE,40000,2214543,796922,91.47,99,0.01,91.49,274,0.01
Jamalpur,,16705992B65705561019803,BGD,ADM2,education,DISTANCE,45000,2214685,796973,91.48,51,0.01,91.49,142,0.01
Jamalpur,,16705992B65705561019803,BGD,ADM2,education,DISTANCE,50000,2214799,797014,91.48,41,0.0,91.5,114,0.0
Dinajpur,,16705992B66423446659680,BGD,ADM2,education,DISTANCE,5000,1160551,395648,35.71,395648,35.71,35.71,1160551,35.71
Dinajpur,,16705992B66423446659680,BGD,ADM2,education,DISTANCE,10000,1946378,663549,59.89,267901,24.18,59.89,785827,24.18
Dinajpur,,16705992B66423446659680,BGD,ADM2,education,DISTANCE,15000,2698920,920070,83.04,256521,23.15,83.05,752542,23.16
Dinajpur,,16705992B66423446659680,BGD,ADM2,education,DISTANCE,20000,3083590,1051179,94.88,131109,11.83,94.89,384670,11.84
Dinajpur,,16705992B66423446659680,BGD,ADM2,education,DISTANCE,25000,3186854,1086436,98.06,35257,3.18,98.06,103264,3.18
Dinajpur,,16705992B66423446659680,BGD,ADM2,education,DISTANCE,30000,3238272,1104002,99.65,17566,1.59,99.65,51418,1.58
Dinajpur,,16705992B66423446659680,BGD,ADM2,education,DISTANCE,35000,3243501,1105774,99.81,1772,0.16,99.81,5229,0.16
Dinajpur,,16705992B66423446659680,BGD,ADM2,education,DISTANCE,40000,3244732,1106193,99.84,419,0.04,99.84,1231,0.04
Dinajpur,,16705992B66423446659680,BGD,ADM2,education,DISTANCE,45000,3247925,1107282,99.94,1089,0.1,99.94,3193,0.1
Dinajpur,,16705992B66423446659680,BGD,ADM2,education,DISTANCE,50000,3249180,1107709,99.98,427,0.04,99.98,1255,0.04
Panchagarh,,16705992B66536058617583,BGD,ADM2,education,DISTANCE,5000,220918,82144,20.1,82144,20.1,20.1,220918,20.1
Panchagarh,,16705992B66536058617583,BGD,ADM2,education,DISTANCE,10000,475103,176667,43.23,94523,23.13,43.23,254185,23.13
Panchagarh,,16705992B66536058617583,BGD,ADM2,education,DISTANCE,15000,756147,281173,68.8,104506,25.57,68.8,281044,25.57
Panchagarh,,16705992B66536058617583,BGD,ADM2,education,DISTANCE,20000,986031,366640,89.71,85467,20.91,89.71,229884,20.92
Panchagarh,,16705992B66536058617583,BGD,ADM2,education,DISTANCE,25000,1060724,394408,96.51,27768,6.79,96.51,74693,6.8
Panchagarh,,16705992B66536058617583,BGD,ADM2,education,DISTANCE,30000,1063243,395344,96.73,936,0.23,96.74,2519,0.23
Panchagarh,,16705992B66536058617583,BGD,ADM2,education,DISTANCE,35000,1096381,407667,99.75,12323,3.02,99.75,33138,3.01
Panchagarh,,16705992B66536058617583,BGD,ADM2,education,DISTANCE,40000,1097007,407900,99.81,233,0.06,99.81,626,0.06
Panchagarh,,16705992B66536058617583,BGD,ADM2,education,DISTANCE,45000,1097007,407900,99.81,0,0.0,99.81,0,0.0
Panchagarh,,16705992B66536058617583,BGD,ADM2,education,DISTANCE,50000,1097007,407900,99.81,0,0.0,99.81,0,0.0
Barisal,,16705992B66943755852345,BGD,ADM2,education,DISTANCE,5000,576289,216872,26.0,216872,26.0,26.0,576289,26.0
Barisal,,16705992B66943755852345,BGD,ADM2,education,DISTANCE,10000,694627,261400,31.34,44528,5.34,31.34,118338,5.34
Barisal,,16705992B66943755852345,BGD,ADM2,education,DISTANCE,15000,818652,308079,36.94,46679,5.6,36.94,124025,5.6
Barisal,,16705992B66943755852345,BGD,ADM2,education,DISTANCE,20000,987963,371799,44.58,63720,7.64,44.57,169311,7.64
Barisal,,16705992B66943755852345,BGD,ADM2,education,DISTANCE,25000,1152585,433773,52.01,61974,7.43,52.0,164622,7.43
Barisal,,16705992B66943755852345,BGD,ADM2,education,DISTANCE,30000,1205370,453652,54.39,19879,2.38,54.38,52785,2.38
Barisal,,16705992B66943755852345,BGD,ADM2,education,DISTANCE,35000,1218050,458426,54.97,4774,0.57,54.95,12680,0.57
Barisal,,16705992B66943755852345,BGD,ADM2,education,DISTANCE,40000,1225525,461240,55.3,2814,0.34,55.29,7475,0.34
Barisal,,16705992B66943755852345,BGD,ADM2,education,DISTANCE,45000,1230247,463018,55.52,1778,0.21,55.51,4722,0.21
Barisal,,16705992B66943755852345,BGD,ADM2,education,DISTANCE,50000,1231324,463423,55.57,405,0.05,55.55,1077,0.05
Faridpur,,16705992B67131385183639,BGD,ADM2,education,DISTANCE,5000,295785,109832,14.84,109832,14.84,14.83,295785,14.83
Faridpur,,16705992B67131385183639,BGD,ADM2,education,DISTANCE,10000,561163,208366,28.15,98534,13.31,28.14,265378,13.31
Faridpur,,16705992B67131385183639,BGD,ADM2,education,DISTANCE,15000,775673,287916,38.9,79550,10.75,38.9,214510,10.76
Faridpur,,16705992B67131385183639,BGD,ADM2,education,DISTANCE,20000,1112913,413057,55.8,125141,16.91,55.81,337240,16.91
Faridpur,,16705992B67131385183639,BGD,ADM2,education,DISTANCE,25000,1364542,506589,68.44,93532,12.64,68.43,251629,12.62
Faridpur,,16705992B67131385183639,BGD,ADM2,education,DISTANCE,30000,1482115,550383,74.36,43794,5.92,74.33,117573,5.9
Faridpur,,16705992B67131385183639,BGD,ADM2,education,DISTANCE,35000,1504583,558726,75.48,8343,1.13,75.46,22468,1.13
