name,iso,id,country,admin_level,category,range_type,range,population,under_5_population,under_5_population_share,under_5_population_interval,under_5_population_interval_share,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,adults_population,adults_population_share,adults_population_interval,adults_population_interval_share,women_childbearing_population,women_childbearing_population_share,women_childbearing_population_interval,women_childbearing_population_interval_share,elderly_population,elderly_population_share,elderly_population_interval,elderly_population_interval_share,population_share,population_interval,population_interval_share
Barguna,,16705992B13795829103768,BGD,ADM2,hospitals,TIME,6000,882694,72740,98.17,141,0.19,298032,98.17,576,0.19,802292,98.17,1553,0.19,256198,98.17,497,0.19,87306,98.17,169,0.19,98.17,1709,0.19
Barguna,,16705992B13795829103768,BGD,ADM2,hospitals,TIME,6600,885843,72999,98.52,259,0.35,299094,98.52,1062,0.35,805155,98.52,2863,0.35,257112,98.52,914,0.35,87618,98.52,312,0.35,98.52,3149,0.35
Barguna,,16705992B13795829103768,BGD,ADM2,hospitals,TIME,7200,890081,73349,98.99,350,0.47,300523,98.99,1429,0.47,809007,98.99,3852,0.47,258343,98.99,1231,0.47,88036,98.99,418,0.47,98.99,4238,0.47
Jhalokati,,16705992B14602656752780,BGD,ADM2,hospitals,TIME,600,317345,24651,47.5,24651,47.5,115552,47.49,115552,47.49,285877,47.47,285877,47.47,91486,47.46,91486,47.46,33950,47.42,33950,47.42,47.46,317345,47.46
Jhalokati,,16705992B14602656752780,BGD,ADM2,hospitals,TIME,1200,458857,35619,68.63,10968,21.13,167027,68.65,51475,21.16,413313,68.63,127436,21.16,132300,68.63,40814,21.17,49133,68.62,15183,21.21,68.63,141512,21.17
Jhalokati,,16705992B14602656752780,BGD,ADM2,hospitals,TIME,1800,542400,42112,81.14,6493,12.51,197403,81.13,30376,12.48,488576,81.13,75263,12.5,156387,81.12,24087,12.49,58067,81.1,8934,12.48,81.12,83543,12.5
Jhalokati,,16705992B14602656752780,BGD,ADM2,hospitals,TIME,2400,566440,43977,84.73,1865,3.59,206138,84.72,8735,3.59,510226,84.72,21650,3.59,163318,84.72,6931,3.6,60644,84.7,2577,3.6,84.72,24040,3.6
Jhalokati,,16705992B14602656752780,BGD,ADM2,hospitals,TIME,3000,573702,44545,85.83,568,1.09,208791,85.81,2653,1.09,516776,85.81,6550,1.09,165409,85.8,2091,1.08,61414,85.78,770,1.08,85.81,7262,1.09
Jhalokati,,16705992B14602656752780,BGD,ADM2,hospitals,TIME,3600,657850,51067,98.39,6522,12.57,239401,98.39,30610,12.58,592552,98.39,75776,12.58,189678,98.39,24269,12.59,70443,98.39,9029,12.61,98.39,84148,12.59
Jhalokati,,16705992B14602656752780,BGD,ADM2,hospitals,TIME,4200,658255,51098,98.45,31,0.06,239548,98.45,147,0.06,592917,98.45,365,0.06,189795,98.45,117,0.06,70487,98.45,44,0.06,98.45,405,0.06
Jhalokati,,16705992B14602656752780,BGD,ADM2,hospitals,TIME,4800,658456,51114,98.49,16,0.03,239620,98.48,72,0.03,593098,98.48,181,0.03,189853,98.48,58,0.03,70508,98.48,21,0.03,98.48,201,0.03
Jhalokati,,16705992B14602656752780,BGD,ADM2,hospitals,TIME,5400,668604,51900,100.0,786,1.51,243311,100.0,3691,1.52,602237,100.0,9139,1.52,192780,100.0,2927,1.52,71597,100.0,1089,1.52,100.0,10148,1.52
Jhalokati,,16705992B14602656752780,BGD,ADM2,hospitals,TIME,6000,668604,51900,100.0,0,0.0,243311,100.0,0,0.0,602237,100.0,0,0.0,192780,100.0,0,0.0,71597,100.0,0,0.0,100.0,0,0.0
Jhalokati,,16705992B14602656752780,BGD,ADM2,hospitals,TIME,6600,668604,51900,100.0,0,0.0,243311,100.0,0,0.0,602237,100.0,0,0.0,192780,100.0,0,0.0,71597,100.0,0,0.0,100.0,0,0.0
Jhalokati,,16705992B14602656752780,BGD,ADM2,hospitals,TIME,7200,668604,51900,100.0,0,0.0,243311,100.0,0,0.0,602237,100.0,0,0.0,192780,100.0,0,0.0,71597,100.0,0,0.0,100.0,0,0.0
